"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"AUT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"BEL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"CAN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"CZE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"DNK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"FIN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"FRA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"DEU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"GRC","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"HUN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"ISL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"IRL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"ITA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"JPN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"KOR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"LUX","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"MEX","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"NLD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"NZL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"NOR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"POL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"PRT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"SVK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"ESP","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SWE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"CHE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"TUR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"GBR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"USA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"ALB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"DZA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"ARG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"ARM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"AZE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BGD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BLR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BIH","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"BRA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"BGR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"KHM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"CHL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"CHN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"COL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"HRV","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
